ethnic,method,auc,clump_auc,improve
EUR,PRScs,0.618595569,0.592561274,0.044
EUR,LDPred,0.613809783,0.592561274,0.036
EUR,AnnoPred,0.62937153,0.592561274,0.062
SAS,PRScs,0.584292312,0.576521509,0.013
SAS,LDPred,0.588768582,0.576521509,0.021
SAS,AnnoPred,0.608943234,0.576521509,0.056
EAS,PRScs,0.58091113,0.503472222,0.154
EAS,LDPred,0.552131061,0.503472222,0.097
EAS,AnnoPred,0.567260882,0.503472222,0.127
AFR,PRScs,0.511264577,0.515490253,-0.008
AFR,LDPred,0.525337926,0.515490253,0.019
AFR,AnnoPred,0.535724657,0.515490253,0.039
