"ethnic","software","rsquared","rsquared_LL","rsquared_UL","method"
"EUR","clump",0.074386294,0.063798078,0.084974511,"P+T"
"EUR","ldpred1500",0.088973418,0.077575966,0.100370869,"LDPred"
"EUR","anno1500",0.114153597,0.101600531,0.126706662,"AnnoPred"
"SAS","clump",0.052590681,0.042743992,0.062437369,"P+T"
"SAS","ldpred1500",0.060287031,0.049830074,0.070743989,"LDPred"
"SAS","anno1500",0.077457598,0.065821255,0.089093941,"AnnoPred"
"EAS","clump",0.05446043,0.035398408,0.073522453,"P+T"
"EAS","ldpred1500",0.063680162,0.043268657,0.084091668,"LDPred"
"EAS","anno1500",0.07279976,0.051188145,0.094411376,"AnnoPred"
"AFR","clump",0.019569414,0.012671614,0.026467214,"P+T"
"AFR","ldpred1500",0.021755388,0.014498746,0.02901203,"LDPred"
"AFR","anno1500",0.030841292,0.022281445,0.039401139,"AnnoPred"
